"Timestamp","Roughly how many people are in the friend group you usually try (and sometimes fail) to make plans with?","In the last 3 months, what proportion of hangouts got talked about in a chat but NEVER actually happened?","Rank the following barriers to you meeting your friends [Clashing schedules]","Rank the following barriers to you meeting your friends [Distance]","Rank the following barriers to you meeting your friends [Activity Idea]","Rank the following barriers to you meeting your friends [Disagree on location]","Rank the following barriers to you meeting your friends [Lack of motivation]","Rank the following barriers to you meeting your friends [Bad communication]","When you are only slightly unsure you can make a plan, what response do you usually send?","In your experience, has it been easier to make plans for a larger group?","After a plan is firmly set (date, time, location confirmed), how often does someone bail last-minute (within 24 hours)?","If you could privately signal ""I'd be up for something this week"" (and it stayed invisible unless it matched others), would you send this signal more, the same, or less than messaging the group directly?","Have you ever lied or made up an excuse to avoid a friend meetup that was already planned?","If you have ever bailed on/not turned up to a planned event, what was the reason?","When attempting to initiate a meetup, how often does the initial suggested date/time get agreed upon without change?","Who typically takes the lead in initiating and coordinating meetups in your friend group?","How irritated do you feel when plans fall apart?"
"2026/05/19 8:24:06 PM GMT+1","4 - 6","0 - 10%","Often","Sometimes","Never","Never","Rarely","Rarely","A 'maybe' or tentative acceptance","No, smaller groups make it easier","Rarely (less than 10% of the time)","The same amount","Yes, occasionally","Something else came up that I wanted to go to more than the meet up","Rarely (less than 25% of the time)","It's evenly distributed among a few friends","3"
"2026/05/19 9:35:33 PM GMT+1","2 - 3","75 - 100%","Often","Never","Never","Never","Never","Often","A clear no","The group size does not matter","Never","More often than messaging the group directly","No, never","My fish die","Almost always","No one consistently takes the lead","1"
"2026/05/19 9:37:58 PM GMT+1","4 - 6","75 - 100%","Sometimes","Rarely","Rarely","Never","Often","Rarely","Nothing yet (silence/delaying the response)","No, smaller groups make it easier","Rarely (less than 10% of the time)","More often than messaging the group directly","Yes, occasionally","n/a","Almost never","Mostly one specific friend (not me)","1"
"2026/05/19 10:10:35 PM GMT+1","2 - 3","10 - 30%","Often","Often","Never","Never","Never","Rarely","A clear yes","No, smaller groups make it easier","Rarely (less than 10% of the time)","More often than messaging the group directly","Yes, occasionally","Lack of social battery, mental health ","About half the time (~50%)","It's evenly distributed among a few friends","3"
"2026/05/19 10:19:27 PM GMT+1","4 - 6","50 - 75%","Sometimes","Sometimes","Sometimes","Rarely","Sometimes","Often","A 'maybe' or tentative acceptance","No, smaller groups make it easier","Rarely (less than 10% of the time)","Less often than messaging the group directly","Yes, occasionally","","Rarely (less than 25% of the time)","It's evenly distributed among a few friends","3"
"2026/05/20 12:08:55 AM GMT+1","","0 - 10%","Sometimes","Sometimes","Never","Never","Never","Rarely","A 'maybe' or tentative acceptance","No, smaller groups make it easier","Rarely (less than 10% of the time)","","Yes, occasionally","","Often (more than 75% of the time)","It's evenly distributed among a few friends","2"
"2026/05/20 2:16:18 AM GMT+1","4 - 6","50 - 75%","Often","Rarely","Sometimes","Rarely","Sometimes","Often","Nothing yet (silence/delaying the response)","The group size does not matter","About half the time (~50%)","More often than messaging the group directly","No, never","","Often (more than 75% of the time)","Mostly one specific friend (not me)","4"
"2026/05/20 8:14:15 AM GMT+1","4 - 6","30 - 50%","Often","Sometimes","Sometimes","Rarely","Sometimes","Never","A 'maybe' or tentative acceptance","No, smaller groups make it easier","Rarely (less than 10% of the time)","More often than messaging the group directly","No, never","","About half the time (~50%)","Mostly me","3"
"2026/05/20 9:25:24 AM GMT+1","2 - 3","10 - 30%","Often","Rarely","Sometimes","Rarely","Sometimes","Sometimes","Nothing yet (silence/delaying the response)","The group size does not matter","Rarely (less than 10% of the time)","Less often than messaging the group directly","Yes, often","Didn't have the motivation / Didn't feel like it","Rarely (less than 25% of the time)","It's evenly distributed among a few friends","2"
"2026/05/20 11:58:45 AM GMT+1","4 - 6","0 - 10%","Often","Often","Sometimes","Sometimes","Often","Often","A 'maybe' or tentative acceptance","No, smaller groups make it easier","Rarely (less than 10% of the time)","Less often than messaging the group directly","No, never","","Rarely (less than 25% of the time)","Mostly one specific friend (not me)","2"
"2026/05/20 12:02:28 PM GMT+1","7+","10 - 30%","Often","Often","Sometimes","Often","Often","Sometimes","A 'maybe' or tentative acceptance","No, smaller groups make it easier","About half the time (~50%)","The same amount","No, never","Work related stress","Often (more than 75% of the time)","It's evenly distributed among a few friends","3"
"2026/05/20 1:24:39 PM GMT+1","7+","30 - 50%","Never","Never","Sometimes","Never","Rarely","Often","A 'maybe' or tentative acceptance","No, smaller groups make it easier","Often (more than 75% of the time)","More often than messaging the group directly","Yes, occasionally","","About half the time (~50%)","Mostly one specific friend (not me)","2"
"2026/05/20 2:34:24 PM GMT+1","4 - 6","50 - 75%","Often","Often","Rarely","Rarely","Rarely","Rarely","Nothing yet (silence/delaying the response)","No, smaller groups make it easier","Rarely (less than 10% of the time)","More often than messaging the group directly","Yes, occasionally","Couldn't be bothered","Rarely (less than 25% of the time)","It's evenly distributed among a few friends","2"
"2026/05/20 3:03:09 PM GMT+1","7+","10 - 30%","Sometimes","Often","Rarely","Rarely","Sometimes","Sometimes","A 'maybe' or tentative acceptance","No, smaller groups make it easier","Rarely (less than 10% of the time)","Less often than messaging the group directly","Yes, occasionally","","Rarely (less than 25% of the time)","It's evenly distributed among a few friends","2"
"2026/05/21 10:55:22 AM GMT+1","4 - 6","10 - 30%","Often","Sometimes","Sometimes","Sometimes","Rarely","Often","A 'maybe' or tentative acceptance","Yes, larger groups make it easier","Rarely (less than 10% of the time)","More often than messaging the group directly","Yes, occasionally","Clash with random life admin","About half the time (~50%)","No one consistently takes the lead","2"
"2026/05/21 6:21:54 PM GMT+1","2 - 3","10 - 30%","Often","Sometimes","Sometimes","Rarely","Sometimes","Sometimes","A 'maybe' or tentative acceptance","No, smaller groups make it easier","About half the time (~50%)","The same amount","No, never","","About half the time (~50%)","Mostly me","3"
"2026/05/21 8:32:13 PM GMT+1","4 - 6","50 - 75%","Often","Often","Sometimes","Sometimes","Sometimes","Rarely","A clear yes","No, smaller groups make it easier","Rarely (less than 10% of the time)","The same amount","Yes, occasionally","Broke and busy","Rarely (less than 25% of the time)","Mostly me","3"
